#{"t_start": 1767050075.4006429, "env_id": "None"}
r,l,t
2542.092435,19995,37.604436
8976.485672,19995,69.365328
9781.250826,19995,101.084992
9781.264082,19995,133.318149
10479.348866,19995,164.178951
10252.017425,19995,195.380329
10530.324144,19995,227.797658
10814.245153,19995,260.164238
10263.908527,19995,292.487482
10504.214506,19995,324.951881
10447.810921,19995,356.66437
10828.538152,19995,388.950861
10749.704773,19995,420.15664
10279.727339,19995,452.219629
10231.445252,19995,484.474741
10409.77346,19995,510.490317
10412.428946,19995,532.279357
10409.77346,19995,554.380624
10412.428946,19995,577.058962
10412.428946,19995,598.460811
10409.77346,19995,620.132988
10412.428946,19995,641.793159
10409.77346,19995,663.869081
10412.428946,19995,685.593029
10409.77346,19995,707.324313
10412.428946,19995,1734.203776
10412.428946,19995,2131.737373
10409.77346,19995,2219.571011
